link,headline
b'https://www.wsj.com/articles/tim-cook-and-apple-bet-everything-on-china-then-coronavirus-hit-11583172087',b'Tim Cook and Apple Bet Everything on China. Then Coronavirus Hit ...'
b'https://www.businessinsider.com/samsung-galaxy-s20-ultra-apple-iphone-11-features-specs-camera-2020-2',"b""10 features Samsung's Galaxy S20 phones have that Apple's latest ..."""
b'https://www.raysapplemarkets.com/',"b""Ray's Apple Markets"""
b'https://www.simon.com/mall/solomon-pond-mall/stores/apple',"b'Apple at Solomon Pond - A Shopping Center in Marlborough, MA - A ...'"
b'http://beakandskiff.com/',b'Beak and Skiff Apple Orchards'
"b'https://www.tomsguide.com/us/best-apple-iphone,review-6348.html'","b""Best iPhones in 2020 | Tom's Guide"""
b'https://www.vox.com/recode/2020/3/2/21161524/apple-iphone-500-million-settlement-throttling-class-action-lawsuit',b'Apple hit with $500 million iPhone lawsuit settlement - Vox'
b'https://www.kevinrooke.com/post/apple-airpods-iphone-accessory-or-the-next-big-thing',b'Apple AirPods: iPhone Accessory Or The Next Big Thing?'
b'https://mercier-orchards.com/',"b'Mercier Orchards | North GA Apple Orchard | U-Pick | Blue Ridge, GA'"
b'https://www.applefordva.com/dealership/staff.htm',b'Our Team | Apple Ford of Lynchburg'
b'https://www.littleapplebrewery.com/',b'Little Apple Brewing Company: Takeout and Curbside Service'
b'https://www.reuters.com/article/uk-china-health-apple-iphone-focus/coronavirus-clouds-apples-timeline-for-new-iphones-idUSKBN20J2GJ',"b""Coronavirus clouds Apple's timeline for new iPhones - Reuters"""
b'https://hardywood.com/beer/apple-brandy-barrel-gbs/',b'Apple Brandy Barrel GBS | Hardywood'
b'https://www.jamba.com/smoothies',b'Smoothie Menu: Jamba Juice Smoothie Menu'
b'https://www.foxcroftacademy.org/academics/apple-distinguished-school/',b'Apple Distinguished School \xc2\xbb Foxcroft Academy'
b'https://www.applevalley.org/services/building-and-safety/forms-and-handouts',"b'Forms and Handouts | Apple Valley, CA'"
b'https://www.applehomecare.com/retail-store',"b'Retail Store Apple HomeCare and Rehab Sterling, MA (978) 422-0000'"
b'https://www.barrons.com/articles/apple-stock-gains-iphone-sales-outlook-upside-51573060349',b'Apple Stock Is Up 65% This Year. More Gains Could Be Coming ...'
b'https://www.bhphotovideo.com/c/product/99402-REG/Matthews_259536_Half_Apple_Box.html',b'Matthews Half Apple Box 259536 B&H Photo Video'
b'https://www.sec.gov/Archives/edgar/data/320193/000032019317000009/a10-qq32017712017.htm',b'10-Q'
b'https://goodfoodpittsburgh.com/all-the-best-places-to-go-apple-picking-near-pittsburgh/',b'All The Best Places To Go Apple Picking Near Pittsburgh'
b'https://matsbus.com/route-25/',b'Route 25 - Apple 2 - Muskegon Area Transit System (MATS)'
b'https://www.engadget.com/apple-iphone-se-2020-a13-bionic-399-150049020.html',"b""Apple's new iPhone SE is surprisingly powerful for $399 | Engadget"""
b'https://www.macworld.com/article/3245534/apple-tv-originals-release-dates-rumors-news-actors-directors.html',b'The complete list of Apple TV+ shows and series | Macworld'
b'https://www.appleharvest.com/photo-contest.html',b'Photo Contest - National Apple Harvest Festival'
b'https://www.cavaliercomputers.com/shop_product_list.asp?catalog_group_id=NDg&catalog_group_name=QXBwbGUgQWNjZXNzb3JpZXM&catalog_id=2345&catalog_name=QXBwbGUgQWNjZXNzb3JpZXM',b'Apple Accessories | Cavalier Computers'
b'https://www.heb.com/product-detail/h-e-b-select-ingredients-squeeze-me-apple-strawberry-banana-sauce-pouches/1690524',b'H\xe2\x80\x91E\xe2\x80\x91B Select Ingredients Squeeze Me! Apple Strawberry Banana ...'
b'https://www.fool.com/investing/general/2015/07/16/despite-the-bounce-apple-stock-looks-cheap-heading.aspx',"b'Despite the Bounce, Apple Stock Looks Cheap Heading Into Earnings'"
b'https://nyapplecountry.com/about/fun-facts',b'Fun Apple Facts - NY Apple Association'
b'http://cziparsorchards.com/',"b""Czipar's Apple Orchard"""
b'https://hemplers.com/product/apple-honey-cured-ham/',"b""Apple Nugget Honey Ham - Hempler's Foods"""
b'https://www.politico.eu/pro/apple-antitrust-tim-cook-monopoly-app-store-competition-margrethe-vestager/amp/',b'Apple stands in global antitrust crosshairs \xe2\x80\x93 POLITICO'
b'https://support.t-mobile.com/docs/DOC-38333',b'Multitasking: Apple iPhone & iPad on iOS 10 | T-Mobile Support'
b'https://www.fool.com/investing/general/2015/07/16/despite-the-bounce-apple-stock-looks-cheap-heading.aspx',"b'Despite the Bounce, Apple Stock Looks Cheap Heading Into Earnings'"
b'https://nyapplecountry.com/about/fun-facts',b'Fun Apple Facts - NY Apple Association'
b'http://cziparsorchards.com/',"b""Czipar's Apple Orchard"""
b'https://hemplers.com/product/apple-honey-cured-ham/',"b""Apple Nugget Honey Ham - Hempler's Foods"""
b'https://www.politico.eu/pro/apple-antitrust-tim-cook-monopoly-app-store-competition-margrethe-vestager/amp/',b'Apple stands in global antitrust crosshairs \xe2\x80\x93 POLITICO'
b'https://support.t-mobile.com/docs/DOC-38333',b'Multitasking: Apple iPhone & iPad on iOS 10 | T-Mobile Support'
b'http://www.cityofloveland.org/departments/parks-recreation/forestry-horticulture/mehaffey-park-plant-species/utter-s-red-apple',"b""Plant Species - 'Utter's Red' Apple | City of Loveland"""
b'https://calendar.pittstate.edu/2019/03/apple-day-psus-longest-continuous-tradition-set-for-monday.html',"b""Apple Day: PSU's longest continuous tradition set for Monday"""
b'https://www.t-mobile.com/support/tutorials?page=devices/fixed-phone/apple',b'Apple | T-Mobile Support'
b'https://www1.ticketmaster.com/big-apple-circus-national-harbor-oxen-hill-maryland-02-28-2019/event/1500551CDA1653CD',"b'Tickets | Big Apple Circus - National Harbor - Oxon Hill, MD at ...'"
